編號,字元,UNICODE,區段,CNS11643,Big5,筆畫,部首
1412,岡,U+5CA1,URO,1-4D25,A9A3,8,山
1413,岩,U+5CA9,URO,1-4D27,A9A5,8,山
1414,岫,U+5CAB,URO,1-4D28,A9A6,8,山
1415,岬,U+5CAC,URO,2-2642,CC61,8,山
1416,岱,U+5CB1,URO,1-4D29,A9A7,8,山
1417,岳,U+5CB3,URO,1-4D2A,A9A8,8,山
1418,岷,U+5CB7,URO,1-4D24,A9A2,8,山
1419,岸,U+5CB8,URO,1-4D26,A9A4,8,山
1420,峇,U+5CC7,URO,2-2A25,CEA4,9,山
1421,峋,U+5CCB,URO,2-297E,CE7D,9,山
1422,峎,U+5CCE,URO,2-2A2D,CEAC,9,山
1423,峘,U+5CD8,URO,2-297B,CE7A,9,山
1424,峙,U+5CD9,URO,1-5071,ABCF,9,山
1425,峨,U+5CE8,URO,1-5533,AE6F,10,山
1426,峭,U+5CED,URO,1-552F,AE6B,10,山
1427,峰,U+5CF0,URO,1-5534,AE70,10,山
1428,島,U+5CF6,URO,1-5535,AE71,10,山
1429,峻,U+5CFB,URO,1-5531,AE6D,10,山
1430,峽,U+5CFD,URO,1-5530,AE6C,10,山
1431,崁,U+5D01,URO,1-5536,AE72,10,山
1432,崇,U+5D07,URO,1-5976,B152,11,山
1433,崎,U+5D0E,URO,1-5978,B154,11,山
1434,崑,U+5D11,URO,1-597C,B158,11,山
1435,崔,U+5D14,URO,1-597E,B15A,11,山
1436,崖,U+5D16,URO,1-597A,B156,11,山
1437,崗,U+5D17,URO,1-5A24,B15E,11,山
1438,崙,U+5D19,URO,1-5A21,B15B,11,山
1439,崛,U+5D1B,URO,1-5979,B155,11,山
1440,崠,U+5D20,URO,2-347B,D4F8,11,山
1441,崢,U+5D22,URO,1-597B,B157,11,山
1442,崧,U+5D27,URO,1-5A23,B15D,11,山
1443,崩,U+5D29,URO,1-597D,B159,11,山
1444,崴,U+5D34,URO,1-5E76,B451,12,山
1445,崽,U+5D3D,URO,2-3B4A,D8E6,12,山
1446,嵋,U+5D4B,URO,2-3B41,D8DD,12,山
1447,嵌,U+5D4C,URO,1-5E74,B44F,12,山
1448,嵐,U+5D50,URO,1-5E75,B450,12,山
1449,嵙,U+5D59,URO,2-3B4C,D8E8,12,山
1450,嵩,U+5D69,URO,1-6369,B743,13,山
1451,嵬,U+5D6C,URO,2-4258,DD52,13,山
1452,嵯,U+5D6F,URO,1-636A,B744,13,山
1453,嶂,U+5D82,URO,2-4968,E1A3,14,山
1454,嶄,U+5D84,URO,1-6859,B9F1,14,山
1455,嶇,U+5D87,URO,1-685A,B9F2,14,山
1456,嶙,U+5D99,URO,2-502B,E562,15,山
1457,嶠,U+5DA0,URO,2-5032,E569,15,山
1458,嶷,U+5DB7,URO,2-5C66,ECDA,17,山
1459,嶸,U+5DB8,URO,1-7358,C0AF,17,山
1460,嶺,U+5DBA,URO,1-7356,C0AD,17,山
1461,嶼,U+5DBC,URO,1-7355,C0AC,17,山
1462,嶽,U+5DBD,URO,1-7357,C0AE,17,山
1463,巍,U+5DCD,URO,1-7A69,C4DE,21,山
1464,巒,U+5DD2,URO,1-7B5E,C572,22,山
1465,巔,U+5DD4,URO,1-7B5D,C571,22,山
1466,巖,U+5DD6,URO,1-7C35,C5C9,23,山
1467,川,U+5DDD,URO,1-4455,A474,3,巛
1468,州,U+5DDE,URO,1-477C,A67B,6,巛
1469,巡,U+5DE1,URO,1-4B56,A8B5,7,辵
1470,巢,U+5DE2,URO,1-5A25,B15F,11,巛
1471,工,U+5DE5,URO,1-4456,A475,3,工
1472,左,U+5DE6,URO,1-464A,A5AA,5,工
1473,巧,U+5DE7,URO,1-4649,A5A9,5,工
1474,巨,U+5DE8,URO,1-4648,A5A8,5,工
1475,巫,U+5DEB,URO,1-4A27,A7C5,7,工
1476,差,U+5DEE,URO,1-5538,AE74,10,工
1477,己,U+5DF1,URO,1-4457,A476,3,己
1478,已,U+5DF2,URO,1-4458,A477,3,己
1479,巳,U+5DF3,URO,1-4459,A478,3,己
1480,巴,U+5DF4,URO,1-453B,A4DA,4,己
1481,巷,U+5DF7,URO,1-5073,ABD1,9,己
1482,巽,U+5DFD,URO,1-5E78,B453,12,己
1483,巾,U+5DFE,URO,1-445A,A479,3,巾
1484,市,U+5E02,URO,1-464B,A5AB,5,巾
1485,布,U+5E03,URO,1-464C,A5AC,5,巾
1486,帆,U+5E06,URO,1-477D,A67C,6,巾
1487,希,U+5E0C,URO,1-4A28,A7C6,7,巾
1488,帑,U+5E11,URO,1-4D30,A9AE,8,巾
1489,帔,U+5E14,URO,2-264F,CC6E,8,巾
1490,帕,U+5E15,URO,1-4D2E,A9AC,8,巾
1491,帖,U+5E16,URO,1-4D2D,A9AB,8,巾
1492,帘,U+5E18,URO,1-4D2B,A9A9,8,巾
1493,帙,U+5E19,URO,2-2650,CC6F,8,巾
1494,帚,U+5E1A,URO,1-4D2C,A9AA,8,巾
1495,帛,U+5E1B,URO,1-4D2F,A9AD,8,巾
1496,帝,U+5E1D,URO,1-5074,ABD2,9,巾
1497,帡,U+5E21,URO,2-2A31,CEB0,9,巾
1498,帥,U+5E25,URO,1-5075,ABD3,9,巾
1499,師,U+5E2B,URO,1-553A,AE76,10,巾
1500,席,U+5E2D,URO,1-5539,AE75,10,巾
1501,帳,U+5E33,URO,1-5A28,B162,11,巾
1502,帶,U+5E36,URO,1-5A27,B161,11,巾
1503,帷,U+5E37,URO,1-5A29,B163,11,巾
1504,常,U+5E38,URO,1-5A26,B160,11,巾
1505,帽,U+5E3D,URO,1-5E7A,B455,12,巾
1506,幃,U+5E43,URO,1-5E7C,B457,12,巾
1507,幄,U+5E44,URO,2-3B56,D8F2,12,巾
1508,幅,U+5E45,URO,1-5E79,B454,12,巾
1509,幌,U+5E4C,URO,1-636B,B745,13,巾
1510,幎,U+5E4E,URO,2-425F,DD59,13,巾
1511,幔,U+5E54,URO,1-685F,B9F7,14,巾
1512,幕,U+5E55,URO,1-685D,B9F5,14,巾
1513,幗,U+5E57,URO,1-685E,B9F6,14,巾
1514,幛,U+5E5B,URO,1-685B,B9F3,14,巾
1515,幟,U+5E5F,URO,1-6C57,BC6D,15,巾
1516,幡,U+5E61,URO,1-6C58,BC6E,15,巾
1517,幢,U+5E62,URO,1-6C56,BC6C,15,巾
1518,幣,U+5E63,URO,1-685C,B9F4,14,巾
1519,幪,U+5E6A,URO,2-5C68,ECDC,17,巾
1520,幫,U+5E6B,URO,1-7359,C0B0,17,巾
1521,幮,U+5E6E,URO,2-6152,EFC6,18,巾
1522,干,U+5E72,URO,1-445B,A47A,3,干
1523,平,U+5E73,URO,1-464D,A5AD,5,干
1524,年,U+5E74,URO,1-4821,A67E,6,干
1525,并,U+5E76,URO,1-477E,A67D,6,干
1526,幸,U+5E78,URO,1-4D31,A9AF,8,干
1527,幹,U+5E79,URO,1-636C,B746,13,干
1528,幻,U+5E7B,URO,1-453C,A4DB,4,幺
1529,幼,U+5E7C,URO,1-464E,A5AE,5,幺
1530,幽,U+5E7D,URO,1-5077,ABD5,9,幺
1531,幾,U+5E7E,URO,1-5E7D,B458,12,幺
1532,庄,U+5E84,URO,2-223C,C9DC,6,广
1533,庇,U+5E87,URO,1-4A2A,A7C8,7,广
1534,床,U+5E8A,URO,1-4A2B,A7C9,7,广
1535,序,U+5E8F,URO,1-4A29,A7C7,7,广
1536,底,U+5E95,URO,1-4D35,A9B3,8,广
1537,庖,U+5E96,URO,1-4D36,A9B4,8,广
1538,店,U+5E97,URO,1-4D33,A9B1,8,广
1539,庚,U+5E9A,URO,1-4D32,A9B0,8,广
1540,府,U+5E9C,URO,1-4D34,A9B2,8,广
1541,庠,U+5EA0,URO,1-5078,ABD6,9,广
1542,庥,U+5EA5,URO,2-2A3B,CEBA,9,广
1543,度,U+5EA6,URO,1-5079,ABD7,9,广
1544,座,U+5EA7,URO,1-553D,AE79,10,广
1545,庫,U+5EAB,URO,1-553B,AE77,10,广
1546,庭,U+5EAD,URO,1-553C,AE78,10,广
1547,庰,U+5EB0,URO,2-2A36,CEB5,9,广
1548,庵,U+5EB5,URO,1-5A2D,B167,11,广
1549,庶,U+5EB6,URO,1-5A2C,B166,11,广
1550,康,U+5EB7,URO,1-5A2A,B164,11,广
1551,庸,U+5EB8,URO,1-5A2B,B165,11,广
1552,庾,U+5EBE,URO,1-5A2E,B168,11,广
1553,廁,U+5EC1,URO,1-5F21,B45A,12,广
1554,廂,U+5EC2,URO,1-5F22,B45B,12,广
1555,廈,U+5EC8,URO,1-636E,B748,13,广
1556,廉,U+5EC9,URO,1-636D,B747,13,广
1557,廊,U+5ECA,URO,1-5E7E,B459,12,广
1558,廍,U+5ECD,URO,3-6474,,14,广
1559,廓,U+5ED3,URO,1-6860,B9F8,14,广
1560,廕,U+5ED5,URO,2-4A21,E1BA,14,广
1561,廖,U+5ED6,URO,1-6861,B9F9,14,广
1562,廚,U+5EDA,URO,1-6C5A,BC70,15,广
1563,廝,U+5EDD,URO,1-6C5C,BC72,15,广
1564,廟,U+5EDF,URO,1-6C5B,BC71,15,广
1565,廠,U+5EE0,URO,1-6C5E,BC74,15,广
1566,廢,U+5EE2,URO,1-6C59,BC6F,15,广
1567,廣,U+5EE3,URO,1-6C5D,BC73,15,广
1568,廨,U+5EE8,URO,2-567C,E972,16,广
1569,廩,U+5EE9,URO,2-5679,E96F,16,广
1570,廬,U+5EEC,URO,1-7833,C366,19,广
1571,廳,U+5EF3,URO,1-7D22,C655,25,广
1572,延,U+5EF6,URO,1-4D37,A9B5,8,廴
1573,廷,U+5EF7,URO,1-4A2C,A7CA,7,廴
1574,建,U+5EFA,URO,1-507A,ABD8,9,廴
1575,廿,U+5EFF,URO,1-453D,A4DC,4,廾
1576,弄,U+5F04,URO,1-4A2D,A7CB,7,廾
1577,弇,U+5F07,URO,2-2A3C,CEBB,9,廾
1578,弈,U+5F08,URO,1-507B,ABD9,9,廾
1579,弊,U+5F0A,URO,1-6862,B9FA,14,廾
1580,式,U+5F0F,URO,1-4822,A6A1,6,弋
1581,弒,U+5F12,URO,1-636F,B749,13,弋
1582,弓,U+5F13,URO,1-445E,A47D,3,弓
1583,弔,U+5F14,URO,1-453E,A4DD,4,弓
1584,引,U+5F15,URO,1-453F,A4DE,4,弓
1585,弘,U+5F18,URO,1-4650,A5B0,5,弓
1586,弛,U+5F1B,URO,1-4823,A6A2,6,弓
1587,弟,U+5F1F,URO,1-4A2E,A7CC,7,弓
1588,弦,U+5F26,URO,1-4D38,A9B6,8,弓
1589,弧,U+5F27,URO,1-4D39,A9B7,8,弓
1590,弩,U+5F29,URO,1-4D3A,A9B8,8,弓
1591,弭,U+5F2D,URO,1-507C,ABDA,9,弓
1592,弱,U+5F31,URO,1-553E,AE7A,10,弓
1593,弳,U+5F33,URO,2-2E7B,D179,10,弓
1594,張,U+5F35,URO,1-5A2F,B169,11,弓
1595,強,U+5F37,URO,1-5A30,B16A,11,弓
1596,弸,U+5F38,URO,2-3531,D54D,11,弓
1597,弼,U+5F3C,URO,1-5F24,B45D,12,弓
1598,彆,U+5F46,URO,1-6863,B9FB,14,弓
1599,彈,U+5F48,URO,1-6C5F,BC75,15,弓
1600,彊,U+5F4A,URO,1-7053,BECA,16,弓
1601,彌,U+5F4C,URO,1-735A,C0B1,17,弓
1602,彎,U+5F4E,URO,1-7B5F,C573,22,弓
1603,彔,U+5F54,URO,2-2655,CC74,8,彐
1604,彗,U+5F57,URO,1-5A31,B16B,11,彐
1605,彘,U+5F58,URO,2-3B58,D8F4,12,彐
1606,彙,U+5F59,URO,1-6370,B74A,13,彐
1607,彝,U+5F5D,URO,3-5764,,18,彐
1608,形,U+5F62,URO,1-4A30,A7CE,7,彡
1609,彤,U+5F64,URO,1-4A2F,A7CD,7,彡
1610,彥,U+5F65,URO,1-507D,ABDB,9,彡
1611,彧,U+5F67,URO,2-2E7D,D17B,10,彡
1612,彩,U+5F69,URO,1-5A33,B16D,11,彡
1613,彪,U+5F6A,URO,1-5D29,B343,11,虍
1614,彫,U+5F6B,URO,1-5A34,B16E,11,彡
1615,彬,U+5F6C,URO,1-5A32,B16C,11,彡
1616,彭,U+5F6D,URO,1-5F25,B45E,12,彡
1617,彰,U+5F70,URO,1-6864,B9FC,14,彡
1618,影,U+5F71,URO,1-6C60,BC76,15,彡
1619,彳,U+5F73,URO,2-212C,C94C,3,彳
1620,彷,U+5F77,URO,1-4A31,A7CF,7,彳
1621,彸,U+5F78,URO,2-2374,CAD4,7,彳
1622,役,U+5F79,URO,1-4A32,A7D0,7,彳
1623,彼,U+5F7C,URO,1-4D3E,A9BC,8,彳
1624,彿,U+5F7F,URO,1-4D3D,A9BB,8,彳
1625,往,U+5F80,URO,1-4D3B,A9B9,8,彳
1626,征,U+5F81,URO,1-4D3C,A9BA,8,彳
1627,徂,U+5F82,URO,2-2656,CC75,8,彳
1628,待,U+5F85,URO,1-5121,ABDD,9,彳
1629,徆,U+5F86,URO,2-2A3F,CEBE,9,彳
1630,徊,U+5F8A,URO,1-5122,ABDE,9,彳
1631,律,U+5F8B,URO,1-5123,ABDF,9,彳
1632,後,U+5F8C,URO,1-5125,ABE1,9,彳
1633,徐,U+5F90,URO,1-5541,AE7D,10,彳
1634,徑,U+5F91,URO,1-5540,AE7C,10,彳
1635,徒,U+5F92,URO,1-553F,AE7B,10,彳
1636,得,U+5F97,URO,1-5A35,B16F,11,彳
1637,徘,U+5F98,URO,1-5A38,B172,11,彳
1638,徙,U+5F99,URO,1-5A36,B170,11,彳
1639,徛,U+5F9B,URO,2-3532,D54E,11,彳
1640,從,U+5F9E,URO,1-5A37,B171,11,彳
1641,御,U+5FA1,URO,1-5A39,B173,11,彳
1642,徦,U+5FA6,URO,2-3B59,D8F5,12,彳
1643,復,U+5FA9,URO,1-5F26,B45F,12,彳
1644,循,U+5FAA,URO,1-5F27,B460,12,彳
1645,徬,U+5FAC,URO,1-6371,B74B,13,彳
1646,微,U+5FAE,URO,1-6372,B74C,13,彳
1647,徵,U+5FB5,URO,1-6C62,BC78,15,彳
1648,德,U+5FB7,URO,1-6C61,BC77,15,彳
1649,徹,U+5FB9,URO,1-6865,B9FD,14,彳
1650,徼,U+5FBC,URO,2-5721,E975,16,彳
1651,徽,U+5FBD,URO,1-735B,C0B2,17,彳
1652,徿,U+5FBF,URO,2-654B,F240,19,彳
1653,心,U+5FC3,URO,1-4540,A4DF,4,心
1654,必,U+5FC5,URO,1-4652,A5B2,5,心
1655,忌,U+5FCC,URO,1-4A34,A7D2,7,心
1656,忍,U+5FCD,URO,1-4A36,A7D4,7,心
1657,忒,U+5FD2,URO,2-2376,CAD6,7,心
1658,忖,U+5FD6,URO,1-4825,A6A4,6,心
1659,志,U+5FD7,URO,1-4A35,A7D3,7,心
1660,忘,U+5FD8,URO,1-4A33,A7D1,7,心
1661,忙,U+5FD9,URO,1-4824,A6A3,6,心
1662,忝,U+5FDD,URO,1-4D3F,A9BD,8,心
1663,忠,U+5FE0,URO,1-4D40,A9BE,8,心
1664,忡,U+5FE1,URO,2-237D,CADD,7,心
1665,忤,U+5FE4,URO,2-237E,CADE,7,心
1666,快,U+5FEB,URO,1-4A38,A7D6,7,心
1667,忱,U+5FF1,URO,1-4A37,A7D5,7,心
1668,念,U+5FF5,URO,1-4D42,A9C0,8,心
1669,忸,U+5FF8,URO,1-4A39,A7D7,7,心
1670,忻,U+5FFB,URO,2-2425,CAE3,7,心
1671,忽,U+5FFD,URO,1-4D41,A9BF,8,心
1672,忿,U+5FFF,URO,1-4D43,A9C1,8,心
1673,怂,U+6002,URO,14-516A,,8,心
1674,怎,U+600E,URO,1-512B,ABE7,9,心
1675,怏,U+600F,URO,1-4D44,A9C2,8,心
1676,怐,U+6010,URO,2-2669,CCAA,8,心
1677,怒,U+6012,URO,1-5127,ABE3,9,心
1678,怕,U+6015,URO,1-4D4A,A9C8,8,心
1679,怖,U+6016,URO,1-4D48,A9C6,8,心
1680,怙,U+6019,URO,2-265D,CC7C,8,心
1681,思,U+601D,URO,1-5128,ABE4,9,心
1682,怠,U+6020,URO,1-5129,ABE5,9,心
1683,怡,U+6021,URO,1-4D4B,A9C9,8,心
1684,怣,U+6023,URO,3-2C5A,,9,心
1685,急,U+6025,URO,1-512A,ABE6,9,心
1686,怦,U+6026,URO,2-265C,CC7B,8,心
1687,性,U+6027,URO,1-4D4C,A9CA,8,心
1688,怨,U+6028,URO,1-512C,ABE8,9,心
1689,怩,U+6029,URO,1-4D4D,A9CB,8,心
1690,怪,U+602A,URO,1-4D49,A9C7,8,心
1691,怫,U+602B,URO,1-4D4E,A9CC,8,心
1692,怯,U+602F,URO,1-4D46,A9C4,8,心
1693,怹,U+6039,URO,2-2A41,CEC0,9,心
1694,恁,U+6041,URO,2-2F23,D1A1,10,心
1695,恂,U+6042,URO,2-2A4C,CECB,9,心
1696,恃,U+6043,URO,1-5132,ABEE,9,心
1697,恄,U+6044,URO,2-2A4F,CECE,9,心
1698,恅,U+6045,URO,2-2A45,CEC4,9,心
1699,恆,U+6046,URO,1-5131,ABED,9,心
1700,恍,U+604D,URO,1-512D,ABE9,9,心
1701,恐,U+6050,URO,1-5545,AEA3,10,心
1702,恒,U+6052,URO,3-2C5D,F9DA,9,心
1703,恕,U+6055,URO,1-5546,AEA4,10,心
1704,恙,U+6059,URO,1-5542,AE7E,10,心
1705,恢,U+6062,URO,1-5130,ABEC,9,心
1706,恣,U+6063,URO,1-5543,AEA1,10,心
1707,恤,U+6064,URO,1-5136,ABF2,9,心
1708,恥,U+6065,URO,1-5544,AEA2,10,心
1709,恨,U+6068,URO,1-512F,ABEB,9,心
1710,恩,U+6069,URO,1-5548,AEA6,10,心
1711,恪,U+606A,URO,1-5135,ABF1,9,心
1712,恬,U+606C,URO,1-5133,ABEF,9,心
1713,恭,U+606D,URO,1-5547,AEA5,10,心
1714,息,U+606F,URO,1-5549,AEA7,10,心
1715,恰,U+6070,URO,1-512E,ABEA,9,心
1716,悄,U+6084,URO,1-554A,AEA8,10,心
1717,悅,U+6085,URO,1-5550,AEAE,10,心
1718,悉,U+6089,URO,1-5A3E,B178,11,心
1719,悌,U+608C,URO,1-554F,AEAD,10,心
1720,悍,U+608D,URO,1-554D,AEAB,10,心
1721,悔,U+6094,URO,1-554E,AEAC,10,心
1722,悖,U+6096,URO,1-5551,AEAF,10,心
1723,悚,U+609A,URO,1-554C,AEAA,10,心
1724,悛,U+609B,URO,2-2F2C,D1AA,10,心
1725,悟,U+609F,URO,1-554B,AEA9,10,心
1726,悠,U+60A0,URO,1-5A3F,B179,11,心
1727,患,U+60A3,URO,1-5A3D,B177,11,心
1728,悱,U+60B1,URO,2-3542,D55E,11,心
1729,悲,U+60B2,URO,1-5F2B,B464,12,心
1730,悴,U+60B4,URO,1-5A42,B17C,11,心
1731,悵,U+60B5,URO,1-5A47,B1A3,11,心
1732,悶,U+60B6,URO,1-5F2C,B465,12,心
1733,悻,U+60BB,URO,1-5A46,B1A2,11,心
1734,悼,U+60BC,URO,1-5A49,B1A5,11,心
1735,悽,U+60BD,URO,1-5A44,B17E,11,心
1736,悾,U+60BE,URO,2-3538,D554,11,心
1737,悿,U+60BF,URO,2-3546,D562,11,心
1738,惄,U+60C4,URO,2-3B61,D8FD,12,心
1739,情,U+60C5,URO,1-5A45,B1A1,11,心
1740,惆,U+60C6,URO,1-5A4C,B1A8,11,心
1741,惇,U+60C7,URO,1-5A50,B1AC,11,心
1742,惋,U+60CB,URO,1-5A41,B17B,11,心
1743,惑,U+60D1,URO,1-5F29,B462,12,心
1744,惕,U+60D5,URO,1-5A4B,B1A7,11,心
1745,惘,U+60D8,URO,1-5A4A,B1A6,11,心
1746,惚,U+60DA,URO,1-5A4F,B1AB,11,心
1747,惜,U+60DC,URO,1-5A48,B1A4,11,心
1748,惝,U+60DD,URO,2-3540,D55C,11,心
1749,惟,U+60DF,URO,1-5A4D,B1A9,11,心
1750,惠,U+60E0,URO,1-5F2D,B466,12,心
1751,惡,U+60E1,URO,1-5F2A,B463,12,心
1752,惰,U+60F0,URO,1-5F32,B46B,12,心
1753,惱,U+60F1,URO,1-5F36,B46F,12,心
1754,想,U+60F3,URO,1-6377,B751,13,心
1755,惶,U+60F6,URO,1-5F38,B471,12,心
1756,惹,U+60F9,URO,1-6379,B753,13,心
1757,惺,U+60FA,URO,1-5F30,B469,12,心
1758,惻,U+60FB,URO,1-5F33,B46C,12,心
1759,愁,U+6101,URO,1-637A,B754,13,心
1760,愆,U+6106,URO,1-6426,B75E,13,心
1761,愈,U+6108,URO,1-637B,B755,13,心
1762,愉,U+6109,URO,1-5F39,B472,12,心
1763,愊,U+610A,URO,2-3B64,D941,12,心
1764,愍,U+610D,URO,1-6425,B75D,13,心
1765,愎,U+610E,URO,1-5F37,B470,12,心
1766,意,U+610F,URO,1-6374,B74E,13,心
1767,愐,U+6110,URO,2-3B70,D94D,12,心
1768,愕,U+6115,URO,1-5F31,B46A,12,心
1769,愖,U+6116,URO,2-3B65,D942,12,心
1770,愚,U+611A,URO,1-6373,B74D,13,心
1771,愛,U+611B,URO,1-6378,B752,13,心
1772,愜,U+611C,URO,1-5F2E,B467,12,心
1773,感,U+611F,URO,1-6376,B750,13,心
1774,愣,U+6123,URO,1-5F2F,B468,12,心
1775,愧,U+6127,URO,1-6424,B75C,13,心
1776,愴,U+6134,URO,1-6423,B75B,13,心
1777,愷,U+6137,URO,1-6427,B75F,13,心
1778,愾,U+613E,URO,1-6422,B75A,13,心
1779,愿,U+613F,URO,1-6867,BA40,14,心
1780,慄,U+6144,URO,1-637E,B758,13,心
1781,慆,U+6146,URO,2-4273,DD6D,13,心
1782,慇,U+6147,URO,1-6866,B9FE,14,心
1783,慈,U+6148,URO,1-6375,B74F,13,心
1784,態,U+614B,URO,1-6868,BA41,14,心
1785,慌,U+614C,URO,1-637D,B757,13,心
1786,慍,U+614D,URO,1-6421,B759,13,心
1787,慎,U+614E,URO,1-637C,B756,13,心
1788,慒,U+6152,URO,2-4A2F,E1C8,14,心
1789,慕,U+6155,URO,1-6C67,BC7D,15,心
1790,慘,U+6158,URO,1-686E,BA47,14,心
1791,慚,U+615A,URO,1-686D,BA46,14,心
1792,慟,U+615F,URO,1-686C,BA45,14,心
1793,慢,U+6162,URO,1-686A,BA43,14,心
1794,慣,U+6163,URO,1-686B,BA44,14,心
1795,慧,U+6167,URO,1-6C64,BC7A,15,心
1796,慨,U+6168,URO,1-5F35,B46E,12,心
1797,慫,U+616B,URO,1-6C6B,BCA3,15,心
1798,慮,U+616E,URO,1-6C65,BC7B,15,心
1799,慰,U+6170,URO,1-6C6A,BCA2,15,心
1800,慳,U+6173,URO,2-4A2E,E1C7,14,心
1801,慶,U+6176,URO,1-6C63,BC79,15,心
1802,慷,U+6177,URO,1-6869,BA42,14,心
1803,慼,U+617C,URO,1-6C69,BCA1,15,心
1804,慾,U+617E,URO,1-6C6C,BCA4,15,心
1805,憂,U+6182,URO,1-6C68,BC7E,15,心
1806,憊,U+618A,URO,1-7057,BECE,16,心
1807,憎,U+618E,URO,1-6C70,BCA8,15,心
1808,憐,U+6190,URO,1-6C6E,BCA6,15,心
1809,憑,U+6191,URO,1-7055,BECC,16,心
1810,憔,U+6194,URO,1-6C74,BCAC,15,心
1811,憚,U+619A,URO,1-6C72,BCAA,15,心
1812,憢,U+61A2,URO,2-5046,E57D,15,心
1813,憤,U+61A4,URO,1-6C73,BCAB,15,心
1814,憧,U+61A7,URO,1-6C6D,BCA5,15,心
1815,憨,U+61A8,URO,2-5724,E977,16,心
1816,憩,U+61A9,URO,1-7056,BECD,16,心
1817,憫,U+61AB,URO,1-6C6F,BCA7,15,心
1818,憬,U+61AC,URO,1-6C71,BCA9,15,心
1819,憲,U+61B2,URO,1-7054,BECB,16,心
1820,憶,U+61B6,URO,1-7059,BED0,16,心
1821,憹,U+61B9,URO,3-5063,,16,心
1822,憾,U+61BE,URO,1-705A,BED1,16,心
1823,懂,U+61C2,URO,1-735D,C0B4,17,心
1824,懇,U+61C7,URO,1-735E,C0B5,17,心
1825,懈,U+61C8,URO,1-705C,BED3,16,心
1826,應,U+61C9,URO,1-735C,C0B3,17,心
1827,懊,U+61CA,URO,1-705B,BED2,16,心
1828,懋,U+61CB,URO,1-7360,C0B7,17,心
1829,懍,U+61CD,URO,1-7058,BECF,16,心
1830,懞,U+61DE,URO,2-5C72,ECE7,17,心
1831,懟,U+61DF,URO,2-6154,EFC8,18,心
1832,懠,U+61E0,URO,2-5C6E,ECE3,17,心
1833,懦,U+61E6,URO,1-735F,C0B6,17,心
1834,懨,U+61E8,URO,2-5C71,ECE6,17,心
1835,懲,U+61F2,URO,1-7834,C367,19,心
1836,懵,U+61F5,URO,1-7837,C36A,19,心
1837,懶,U+61F6,URO,1-7836,C369,19,心
1838,懷,U+61F7,URO,1-7835,C368,19,心
1839,懸,U+61F8,URO,1-796C,C461,20,心
1840,懺,U+61FA,URO,1-796D,C462,20,心
1841,懼,U+61FC,URO,1-7A6A,C4DF,21,心
1842,懾,U+61FE,URO,1-7A6B,C4E0,21,心
1843,懿,U+61FF,URO,1-7B60,C574,22,心
1844,戀,U+6200,URO,1-7C36,C5CA,23,心
1845,戅,U+6205,URO,3-613E,,25,心
1846,戇,U+6207,URO,2-722A,F9BA,28,心
1847,戈,U+6208,URO,1-4541,A4E0,4,戈
1848,戊,U+620A,URO,1-4653,A5B3,5,戈
1849,戌,U+620C,URO,1-4827,A6A6,6,戈
1850,戍,U+620D,URO,1-4828,A6A7,6,戈
1851,戎,U+620E,URO,1-4826,A6A5,6,戈
1852,成,U+6210,URO,1-4829,A6A8,6,戈
1853,我,U+6211,URO,1-4A3C,A7DA,7,戈
1854,戒,U+6212,URO,1-4A3B,A7D9,7,戈
1855,戕,U+6215,URO,1-4D51,A9CF,8,戈
1856,或,U+6216,URO,1-4D50,A9CE,8,戈
1857,戚,U+621A,URO,1-5A51,B1AD,11,戈
1858,戛,U+621B,URO,1-5A52,B1AE,11,戈
1859,戟,U+621F,URO,1-5F3C,B475,12,戈
1860,戡,U+6221,URO,1-6428,B760,13,戈
1861,戥,U+6225,URO,2-427B,DD75,13,戈
1862,截,U+622A,URO,1-6870,BA49,14,戈
1863,戮,U+622E,URO,1-6C76,BCAE,15,戈
1864,戰,U+6230,URO,1-705D,BED4,16,戈
1865,戲,U+6232,URO,1-7361,C0B8,17,戈
1866,戳,U+6233,URO,1-7643,C257,18,戈
1867,戴,U+6234,URO,1-7362,C0B9,17,戈
1868,戶,U+6236,URO,1-4542,A4E1,4,戶
1869,戽,U+623D,URO,2-2671,CCB2,8,戶
1870,戾,U+623E,URO,1-4D53,A9D1,8,戶
1871,房,U+623F,URO,1-4D52,A9D0,8,戶
1872,所,U+6240,URO,1-4D54,A9D2,8,戶
1873,扁,U+6241,URO,1-5137,ABF3,9,戶
1874,扇,U+6247,URO,1-5552,AEB0,10,戶
1875,扈,U+6248,URO,1-5A53,B1AF,11,戶
1876,扉,U+6249,URO,1-5F3D,B476,12,戶
1877,手,U+624B,URO,1-4543,A4E2,4,手
1878,才,U+624D,URO,1-445F,A47E,3,手
1879,扎,U+624E,URO,1-4544,A4E3,4,手
1880,扐,U+6250,URO,2-215E,C97D,5,手
1881,扑,U+6251,URO,1-4657,A5B7,5,手
1882,扒,U+6252,URO,1-4656,A5B6,5,手
1883,打,U+6253,URO,1-4654,A5B4,5,手
1884,托,U+6258,URO,1-482C,A6AB,6,手
1885,扚,U+625A,URO,2-224B,C9EB,6,手
1886,扛,U+625B,URO,1-482B,A6AA,6,手
1887,扞,U+625E,URO,2-2244,C9E4,6,手
1888,扠,U+6260,URO,2-224A,C9EA,6,手
1889,扡,U+6261,URO,2-2246,C9E6,6,手
